numero;angel;imagen;atributo;planeta;coro angelical;aroma;talisman;ofrenda;don ser de luz;hora canalizacion;se canaliza para;color;Columna1;por fecha de nac;mensaje
1;Vehuiah;;Dios elevado por encima de todas las cosas;Neptuno;Serafines;Flores blancas, Jazminez y Camelias;Espejos;Cuentos Infantiles y Gemas Naranjas;Fortaleza y fe en Dios;de 12:00 a.m. a 12:20 a.m;Emprender y ejecutar las cosas más difíciles. transformarse en un guerrero del fuego espiritual;Azul claro;Vehuiah;20 al 24 de marzo;Nos encamina a nuestro destino.Dota de energia cuando mas lo necesitamos
2;Jeliel;;Dios que socorre;Neptuno;Serafines;Flores blancas, Jazminez y Camelias;Espejos;Cuentos Infantiles y Gemas Naranjas;Fortaleza y fe en Dios;de 12:20 a.m a 12:40 a.m;Conseguir victoria contra quienes nos atacan injustamente. calma revueltas populares y mejora el comportamiento de los gobernantes. restablece la paz entre los esposos y la fidelidad conyugal. restablece la armonía entre empleados y empleadores;rojo;Jeliel;25 al 29 de marzo;Proporciona amor y sabiduria en nuestras vidas. Tiene como mision difundir el amor en todas sus formas
3;Sitael;;Dios esperanza de todas las criaturas;Neptuno;Serafines;Flores blancas, Jazminez y Camelias;Espejos;Cuentos Infantiles y Gemas Naranjas;Fortaleza y fe en Dios;de 12:40 a.m a 1:00 a.m;Calmarnos ante las adversidades. protegernos en accidentes de automóviles y asaltos. darnos fuerza y voluntad ante nuestros compromisos. pedir protección ante todo tipo de ataque;azul;Sitael;30 de marzo al 3 de abril;Su mision es ayudarnos a alcanzar el éxito y a cumplir nuestros sueños
4;Elemiah;;Dios Oculto;Neptuno;Serafines;Flores blancas, Jazminez y Camelias;Espejos;Cuentos Infantiles y Gemas Naranjas;Fortaleza y fe en Dios;de 1:00 a.m a 1:20 a.m;Aquietar el espíritu atormentado ante las adversidades. reconsiderar nuestros actos. protección en los viajes. ayudarnos a conocer a los traidores. ayudarnos a descubrir la profesión. que nos ilumine para no continuar en los errores;rojo;Elemiah;4 al 8 de abril;Puedes acudir a él cada que necesites saber cuál es el camino correcto en tu vida
5;Mahasiah;;Dios Salvador;Neptuno;Serafines;Flores blancas, Jazminez y Camelias;Espejos;Cuentos Infantiles y Gemas Naranjas;Fortaleza y fe en Dios;de 1:20 a.m a 1:40 a.m;Vivir en paz con todo el mundo. obtener fuerza moral. concedernos el conocimiento de las ciencias del espíritu. comprender sobre filosofía y teología;amarillo;Mahasiah;9 al 13 de abril;Es el guia y ayudante de los estudiantes
6;Lelahel;;Dios Loable;Neptuno;Serafines;Flores blancas, Jazminez y Camelias;Espejos;Cuentos Infantiles y Gemas Naranjas;Fortaleza y fe en Dios;de 1:40 a.m a 2:00 a.m;Curar enfermedades del espíritu. no tener ambición desmedida y no utilizar el poder para fines ilícitos. ayudarnos a reflexionar. adquirir iluminación y protegernos de personas malvadas;verde  ;Lelahel;14 al 18 de abril;Aclara todas tus dudas y enseña a mirar en nuestro interior
7;Achaiah;;Dios Paciente;Neptuno;Serafines;Flores blancas, Jazminez y Camelias;Espejos;Cuentos Infantiles y Gemas Naranjas;Fortaleza y fe en Dios;de 2:00 a.m a 2:20 a.m;Propagar nuevas ideas, brindarnos la capacidad de ser pacientes, encontrar el sentido de la vida cuando se pierde la fe, pedirle ayuda para encontrar éxito en tareas difíciles, facilitarnos el descubrir secretos de la naturaleza;Naranja;Achaiah;19 al 23 de abril;Otorga la sagrada paciencia cuando atravesamos momentos dificiles en nuestra vida
8;Cahetel;;Dios Adorable;Neptuno;Serafines;Flores blancas, Jazminez y Camelias;Espejos;Cuentos Infantiles y Gemas Naranjas;Fortaleza y fe en Dios;de 2:20 a.m a 2:40 a.m;Protección de personas y cosas, expulsar malos espíritus o pensamientos negativos obsesivos, obtener misericordia y bendición de dios, agradecer los bienes de consumo obtenidos de la tierra, favorecer la producción agrícola;Violeta;Cahetel;24 al 28 de abril;Es el ángel de los cambios en la vida. Invocalo cuando necesites un verdadero cambio
9;Haziel;;Dios Misericordia;Urano;Querubines;Rosas y fresas;Gemas Amarillas;Objetos Brillantes;Iluminación y Sabiduria;de 2:40 a.m a 3:00 a.m;Dar y recibir bondad, conseguir el cumplimiento de una promesa, recibir apoyo de los demás y misericordia divina, tener buenas amistades, reconciliación;verde claro;Haziel;29 de abril al 3 de mayo;Trae el perdon y la reconciliación en tu vida
10;Aladiah;;Dios Propicio;Urano;Querubines;Rosas y fresas;Gemas Amarillas;Objetos Brillantes;Iluminación y Sabiduria;de 3:00 a.m a 3:20 a.m;Sanar dolencias físicas y espirituales, protegernos de energías psíquicas nocivas y envidias proyectadas hacia uno, obtener perdón cuando hay real arrepentimiento, regeneración de la moral, gozar de la amistad de personas importantes;rojo;Aladiah;4 al 8 de mayo;Es el portador de segundas oportunidades y tiene una capacidad de sanación
11;Loviah;;Dios Exaltado;Urano;Querubines;Rosas y fresas;Gemas Amarillas;Objetos Brillantes;Iluminación y Sabiduria;de 3:20 a.m a 3:40 a.m;Prevenir ataques de nervios, protección contra rayos y tempestades naturales, protección contra el orgullo y la calumnia, obtener victoria sobre los adversarios, sobreponernos a nuestras debilidades, rehacer amistades, protegernos de fraudes;Plata;Lauviah;9 al 13 de mayo;Ayuda a desarrollar tu intuición en el mundo terrenal y espirutual
12;Hahahiah;;Dios Refugio;Urano;Querubines;Rosas y fresas;Gemas Amarillas;Objetos Brillantes;Iluminación y Sabiduria;de 3:40 a.m a 4:00 a.m;Interpretar sueños y misterios ocultos, brindarnos ayuda ante adversidades en general, protegernos contra la mentira y el abuso de confianza, brindar revelaciones en especial sobre cosmología;Violeta ;Hahahiah;14 al 18 de mayo;Te enseña a marte a ti mismo y a meditar
13;Lezalel;;Dios Glorificado;Urano;Querubines;Rosas y fresas;Gemas Amarillas;Objetos Brillantes;Iluminación y Sabiduria;de 4:00 a.m a 4:20 a.m;Obtener justicia. liberar de la depresión. favorecer la imparcialidad de los magistrados. proteger contra la calumnia y falsos testimonios de aquellos que desean usurpar los bienes ajenos. proteger a los inocentes y hacer conocer la verdad;Azul;Lezalel;19 al 23 de mayo;Aporta reconciliación y afinidad cuando tienes problemas en una relacion
14;Mebahel;;Dios Conservador;Saturno;Tronos;Flores de Lavanda;Cristales;Flores de Lavanda;Conocimiento sobre el mundo visible e invisible;de 4:20 a.m a 4:40 a.m;Pedir justicia e imparcialidad. pedir protección contra la calumnia y falsos testimonios de aquellos que desean usurpar los bienes ajenos. liberarnos de la depresión. proteger a los inocentes. hacer conocer la verdad;Azul;Mebahel;24 al 28 de mayo;Es el gran protector de la verdad, la justicia, la libertad y el compromiso
15;Hariel;;Dios Creador;Saturno;Tronos;Flores de Lavanda;Cristales;Flores de Lavanda;Conocimiento sobre el mundo visible e invisible;de 4:40 a.m a 5:00 a.m;Obtener mejoras en el desempeño profesional. atraer el amor y la bondad de quienes nos rodean, especialmente entre los integrantes de nuestras familias. exaltar los sentimientos religiosos. ayudarnos a descubrir lo útil y lo bueno;Naranja;Hariel;29 de mayo al 3 de junio;Ayuda a las personas a deshacerse de adicciones y dependencias
16;Hekamiah;;Dios Creador del Universo;Saturno;Tronos;Flores de Lavanda;Cristales;Flores de Lavanda;Conocimiento sobre el mundo visible e invisible;de 5:00 a.m a 5:20 a.m;Ayudarnos a trascender nuestros problemas. vencer a nuestros enemigos internos. proteger a los que ocupan posiciones de liderazgo. pedir coraje, perseverancia y constancia;Naranja;Hekamiah;4 al 8 de junio;Enseña y proporciona lealtad según los principios divinos
17;Lauviah;;Dios Admirable;Urano;Querubines;Rosas y fresas;Gemas Amarillas;Objetos Brillantes;Iluminación y Sabiduria;de 5:20 a.m a 5:40 a.m;Generar amistades profundas. revelarnos el significado de los sueños. obtener talento artístico y literario. ayudarnos a salir de los tormentos espirituales y la tristeza. dormir bien. tener compresión de las ciencias espirituales;amarillo;Lauviah;9 al 13 de junio;Es el ángel de la victoria y de las personas exitosas
18;Caliel;;Dios que escucha;Urano;Querubines;Rosas y fresas;Gemas Amarillas;Objetos Brillantes;Iluminación y Sabiduria;de 5:40 a.m a 6:00 a.m;Encontrar un buen defensor en los procesos judiciales. brindarnos socorro ante adversidades para que surjan las verdades en los procesos conflictivos;Dorado;Caliel;14 al 18 de junio;Nos ayuda a comprender las diferencias entre el bien y el mal
19;Leuviah;;Dios Auxilio de los Pecadores;Urano;Querubines;Rosas y fresas;Gemas Amarillas;Objetos Brillantes;Iluminación y Sabiduria;de 6:00 a.m a 6:20 a.m;Brindarnos inspiración poética y artística. otorgarnos la gracia divina a la fecundidad. aumentar nuestra memoria y nuestra inteligencia;verde;Leuviah;19 al 23 de junio;Guarda los recuerdos de tus vidas pasadas
